Brand,Model and Version,Seller name,City,Price,Mileage,Year,Gearbox,Fuel,Date,Fiscal Power,Doors,Body,First Hand,Ad Link
AUTRE,Autre,ETOILE CAR,Casablanca,780 000 Dhs,4 000,2022,Automatique,Diesel,13-12-2022,8,5,Crossover,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408431/autre-autre-s-line.html
BMW,Serie 4,CARMA AUTO,Casablanca,,4 000,2021,Automatique,Essence,13-12-2022,12,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/391405/bmw-serie-4-.html
AUDI,Rs-q3,AUTO GHALI,Casablanca,,,2022,Automatique,Essence,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400316/audi-rs-q3-s-line.html
AUDI,Rs3,AUTO GHALI,Casablanca,,,2022,Automatique,Essence,13-12-2022,,5,Compact,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/392509/audi-rs3-s-line.html
LAND-ROVER,Range rover sport,AUTO CHAG,Casablanca,,125 000,2014,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/325835/land-rover-range-rover-sport-finition-autobiography.html
MERCEDES,Gle coupe,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/406624/mercedes-gle-coupe-350-de.html
LAND-ROVER,Range rover sport,BOURGOGNE AUTO,Casablanca,,109 000,2016,Automatique,Diesel,13-12-2022,12,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400729/land-rover-range-rover-sport-.html
VOLKSWAGEN,Golf 7,AUTO GHALI,Casablanca,,80 000,2018,Automatique,Diesel,13-12-2022,,5,Compact,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/404452/volkswagen-golf-7-.html
PORSCHE,Cayenne,HIVERNAGE AUTO,Casablanca,,9 000,2019,Automatique,Essence,13-12-2022,17,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/386479/porsche-cayenne-.html
AUDI,Q3 sportback,LUXURY AUTO,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Crossover,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/393632/audi-q3-sportback-s-line.html
JAGUAR,F-type,BOURGOGNE AUTO,Casablanca,,41 000,2016,Automatique,Essence,13-12-2022,17,3,Coupé,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/393816/jaguar-f-type-cabriolet-v6-supercharged.html
MERCEDES,Classe s,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Berline,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403980/mercedes-classe-s-400-d.html
SEAT,Ibiza,GLOBAL OCCAZ,Casablanca,118 000 Dhs,149 000,2017,Manuelle,Diesel,13-12-2022,6,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/398619/seat-ibiza-.html
VOLKSWAGEN,Caddy,Nom masqué,Casablanca,,160 000,2014,Manuelle,Diesel,13-12-2022,,,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407346/volkswagen-caddy-.html
BENTLEY,Bentayga,FAJRINE AUTO,Casablanca,,,2022,Automatique,Hybride,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/388208/bentley-bentayga-.html
PORSCHE,Macan,AUTO GHALI,Casablanca,,10 000,2022,Automatique,Essence,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400596/porsche-macan-.html
VOLKSWAGEN,Golf 8,LUXURY AUTO,Casablanca,,,2021,Automatique,Diesel,13-12-2022,,,Compact,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/356404/volkswagen-golf-8-r-line-importee-neuve.html
AUDI,Q5,AUTO GHALI,Casablanca,,,2022,Automatique,Diesel,13-12-2022,,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/396403/audi-q5-s-line.html
LAND-ROVER,Range rover sport,AUTO GHALI,Casablanca,,100 000,2017,Automatique,Diesel,13-12-2022,12,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/405693/land-rover-range-rover-sport-.html
AUTRE,Autre,AUTO REDA,Casablanca,360 000 Dhs,49 000,2017,Automatique,Essence,13-12-2022,17,5,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/401949/autre-autre-.html
MERCEDES,Classe e,AUTO GHALI,Casablanca,,200 000,2013,Automatique,Diesel,13-12-2022,9,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/407406/mercedes-classe-e-220-d.html
AUDI,A4,ETOILE CAR,Casablanca,560 000 Dhs,4 000,2022,Automatique,Diesel,13-12-2022,8,5,Berline,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408433/audi-a4-tdi.html
